#{"t_start": 1658829223.542336, "env_id": "LunarLander-v4"}
r,l,t
-118.227202,230,186.78871
16.47729,110,187.170685
-13.373886,107,187.541227
-121.439378,113,187.938167
11.692404,82,188.232377
5.797551,95,188.549119
-22.542087,117,188.966003
-10.78366,105,189.335022
-171.752104,222,190.127893
-40.136064,186,190.794949
-190.869733,283,191.418254
-347.34326,981,193.461782
-179.243404,279,193.753001
-163.050819,297,194.086152
-213.31111,523,194.920169
-221.414698,307,196.268369
-35.362333,147,196.873749
-52.522712,92,197.268694
-73.273867,103,197.649235
-206.645134,337,199.101108
-177.977117,275,200.203513
-42.459754,188,200.89621
7.292518,145,201.430964
-176.021035,366,202.837396
-64.991417,117,203.332073
-44.587749,155,203.963414
-4.583708,110,204.430833
-175.553951,156,205.057678
-157.712897,282,206.187558
7.438267,206,206.902199
-111.64209,278,207.921266
-177.367854,139,208.422951
-216.140747,357,209.71016
-150.926856,246,210.546459
-204.717989,131,210.997258
-126.472244,126,211.422713
-45.468803,146,211.948309
42.852473,135,212.403604
10.417085,99,212.745689
21.238875,109,213.119284
-120.91179,137,213.592019
-215.492406,215,214.355975
-39.593861,94,214.684099
-301.8255,506,216.714654
-151.446531,155,217.26915
-197.57099,581,219.652611
-158.97973,198,220.371231
22.601053,120,220.798091
44.509253,104,221.168958
-279.669668,318,222.356302
-99.521186,187,223.021523
-192.241933,259,223.972946
-335.427314,373,225.453189
-192.886189,343,226.723463
-78.259821,152,227.295683
-31.433595,84,227.60285
-184.637829,589,230.227596
-18.833262,118,230.66558
-328.97945,657,233.62037
-202.174563,376,234.205858
-193.431501,442,234.718061
-208.020451,274,234.991636
-197.174496,523,235.620952
-205.619753,605,236.352178
-232.392547,412,238.030139
-276.656148,469,239.900881
40.69361,123,240.376608
-332.900008,896,244.729189
