#{"t_start": 1658916151.0932138, "env_id": "LunarLander-v4"}
r,l,t
-72.679859,201,155.505615
-147.588946,294,156.544833
-17.151462,88,156.848024
-63.00283,152,157.366637
-32.674865,120,157.773548
-300.21808,991,161.752812
-176.643952,154,162.291137
0.412676,114,162.680093
-52.343278,64,162.894524
8.593144,83,163.178761
-117.87138,167,163.751223
-72.996734,149,164.252889
30.402277,81,164.52615
-123.929866,134,164.993904
-68.116505,143,165.485101
-104.436913,254,166.381701
-178.060551,109,166.746737
-101.593041,424,168.349836
-34.030187,167,168.928741
-99.618434,174,169.518164
-163.259042,236,170.341042
25.727158,158,170.898645
-75.739999,285,171.935048
-92.371505,273,172.90944
-143.019145,156,173.44401
4.65806,190,174.111224
-21.364452,113,174.497192
-89.118746,239,175.344923
-330.633335,293,177.41809
-269.911273,555,178.123206
-235.477862,364,178.49521
-264.439153,264,178.722595
-229.067019,318,179.028779
-48.755841,390,180.517742
-104.079754,116,180.914659
3.459877,128,181.347522
-132.35099,345,182.620668
-121.238419,304,183.734687
-157.20709,652,186.258621
-31.544157,96,186.587446
-44.234443,222,187.37434
-197.110644,105,187.724404
-292.716213,363,189.02991
-58.525836,528,191.112496
-242.564417,597,193.503208
-19.970252,134,193.962199
-50.243226,144,194.457881
-51.939234,190,195.122102
-5.635711,97,195.446234
22.970664,147,195.960858
-2.510973,173,196.565239
-71.409523,132,197.015042
-67.237798,108,197.394016
-225.678095,263,243.66343
-345.965162,972,245.425687
-332.768263,605,246.402102
-162.748329,217,246.631461
-268.39632,383,247.098243
-232.783212,593,249.481148
-223.501855,808,253.016053
-201.259498,656,255.841304
-242.433825,528,257.957694
-118.60313,333,259.258124
-141.57369,296,260.341226
-189.197,381,261.815054
-198.780911,688,264.632515
20.167449,105,265.017484
-138.606838,383,266.522219
-207.989256,460,268.359276
-492.588357,1951,278.846748
-274.75664,654,281.536257
-157.027783,513,283.637035
22.29114,105,284.020581
-653.790681,3167,300.930857
-169.681356,587,301.75565
-185.070636,474,302.307178
-565.323731,2367,308.422781
-629.561833,3159,316.662732
-182.410813,114,317.132339
-1937.755507,4393,413.95613
-1758.519579,10000,470.45249
-185.123304,283,470.738697
-207.255023,130,470.855384
-1765.967576,10000,523.12654
-2084.27584,8849,629.985358
-1763.127015,10000,714.83723
133.599091,987,716.449914
-1488.925472,5749,736.016527
-1808.703966,10000,787.954576
299.341662,232,788.185926
34.578852,197,788.950076
277.846644,420,790.628609
-31.839167,2058,800.968079
-628.072541,2142,813.940618
-227.19223,620,816.409867
253.894724,338,817.709417
247.213204,540,819.816646
-104.560713,2448,833.543247
182.872565,1197,838.649605
-249.198926,694,839.591113
141.210514,1163,841.670549
-219.237231,526,842.32779
-205.874001,597,843.065788
218.301239,451,843.622298
